"고유번호","언어","상호명","주소","신주소","전화번호","웹사이트","운영시간","운영요일","휴무일","교통정보"
"369","ko","북한산국립공원","136-855 서울 성북구 정릉동 산 1-1 ","02700 서울 성북구 보국문로34길 6-21 (정릉동) ","02-909-0497","http://bukhan.knps.or.kr","04:00 ~ 17:00 (3월~11월) 04:00 ~ 16:00 (12월~2월)","매일","","3호선 구파발역 1번 출구로 나와 704번, 34번 버스로 갈아타고 북한산성에서 하차    3호선 불광역   "
"1981","ko","중랑천 제방"," 서울 중랑구 면목동 일대"," 서울특별시 중랑구 면목동 일대 ","02-938-9520~1","http://jr1000ecocenter.nowon.kr/main.do","","","","7호선 중화 3번, 4번 출구 도보 10분  1호선 신이문 3번 출구 도보 10분  1호선 외대앞 2번 출구 도보 10분  "
"2027","ko","구암공원","157-807 서울 강서구 가양동 1471 ","07525 서울 강서구 허준로5길 42 (가양동, 구암공원관리사무실) ","02-2600-4196","","","","","9호선 가양 1번"
"2087","ko","마로니에공원"," 서울 종로구 동숭동 1-119 ","03086 서울 종로구 대학로 104 (동숭동) ","02-2148-4158","http://tour.jongno.go.kr/tour/tour/indvdlz/view.do?nttId=34651&menuId=400176&menuNo=400176","","","","4호선 혜화역 2번 출구 도보 5분"
"2130","ko","고덕 수변생태공원","134-080 서울 강동구 고덕동 374-1 일대"," 서울특별시 강동구 고덕동 374-1 일대 ","02-426-0755","http://hangang.seoul.go.kr/archives/352","","","","5호선 상일동역 1번 출구  "
"2139","ko","올림픽공원","138-749 서울 송파구 방이동 88 ","05540 서울 송파구 올림픽로 424 (방이동, 올림픽공원) ","02-410-1114","http://www.olympicpark.co.kr/ ","05:00~22:00 도보나 자전거 출입 (광장지역은 24:00)  06:00~22:00 차량 출입 ※ 시설물 안전과 방문객의 신변보호를 위해 22시 이후에는 공원 안쪽으로의     출입을 금합니다. ","월~일","연중무휴","8호선 몽촌토성역 1번 출구    5호선(마천방면) 올림픽공원역 3번 출구  "
"2269","ko","고척근린공원","152-080 서울 구로구 고척2동 산 9-14 ","08239 서울 구로구 고척로45길 31 (고척동, 고척시립도서관) ","02-2619-6640","http://www.guro.go.kr/culture/attraction/park/park01.jsp","","","","1호선 개봉역 2번출구 도보 20분 거리    "
"4823","ko","북서울꿈의숲"," 서울특별시 강북구 번동 산28-6 ","01228 서울특별시 강북구 월계로 173  (번동) ","120","http://parks.seoul.go.kr/template/sub/dreamforest.do","매일 00:00 - 24:00","","","4호선 미아삼거리 3번 출구 나와서 강북09, 강북11 마을버스 환승 후 10분 6호선 돌곶이 3번 출구 나와서 147 버스 환승 후 6분 1호선 월계 2번 출구 나와서 147번 버스 환승 후 8분"
"12315","ko","현대원서공원"," 서울 종로구 원서동 181 ","03058 서울특별시 종로구 창덕궁길 19 (원서동) ","02-731-0120","","","","","3호선 안국 3번 출구에서 약 400m"
"16328","ko","석촌호수 야경"," 서울 송파구 잠실동 47 서울놀이마당 ","05608 서울 송파구 삼학사로 136 (잠실동) ","02-412-0190","","매일","","","2호선 잠실역 2번 출구 8호선 잠실역 11번 출구"
"27296","ko","망우산 사색의 길","131-800 서울 중랑구 망우동 산 57-1 ","02178 서울 중랑구 망우로 570 (망우묘지관리사무소) ","","","","","","경의중앙선 양원역 2번 출구"
"28656","ko","백범광장공원","100-873 서울 중구 회현동1가 100-5 ","04633 서울 중구 퇴계로8길 49-4 ","02-3783-5900","","","","","1?4호선 서울역 8번 출구 4호선 회현역 4번 출구"
"29422","ko","등잔 밑이 어둡다, 우리 동네 보석 같은 공원","  ","  ","","","","","",""
"32823","ko","개화산 ","157-220 서울 강서구 방화동 846 개화산 ","07601 서울 강서구 양천로 22 (방화동, 개화산역) 개화산 ","02-2600-4183","","","","",""
"36989","ko","서초문화예술공원"," 서울 서초구 양재동 200 ","06769 서울 서초구 바우뫼로12길 40 (양재동, 서초문화예술공원) ","02-2155-8601","https://www.seocho.go.kr/site/seocho/04/10405010200002015070703.jsp","","","","신분당선 양재시민의숲역 5번 출구에서 677m"
"37529","ko","백련산"," 서울 서대문구 홍은동 ","03651 서울 서대문구 홍은동 ","","","","","",""
"39706","ko","서리풀 공원","137-070 서울특별시 서초구 서초동 1005-6 서리풀공원","  ","02-2155-6861","","","매일","","7호선 내방역 1번 출구에서 1003m"
"34","ko","청계천","110-110 서울 종로구 서린동 146 ","03187 서울 종로구 무교로 37 (서린동) ","02-2290-6114","https://www.sisul.or.kr/open_content/cheonggye/ ","","","","4호선 동대문역 6번, 8번 출구 도보 5분    2호선 을지로입구역 2번, 3번 출구 도보 10분    1호선 시청역 4번 출구 도보 5분   "
"1562","ko","우장공원"," 서울 강서구 내발산동 산 4-5 ","07647 서울 강서구 공항대로42길 51-22 (내발산동, 강서청소년회관) ","02-2600-4185","","  ","월~일","","5호선 발산역  6번 출구 "
"1579","ko","탑골공원","110-122 서울 종로구 종로2가 38-1","110-122 서울특별시 종로구 종로 99 (종로2가) ","02-731-0534","http://parks.seoul.go.kr/parks/detailView.do?pIdx=60","09:00~18:00","월~일","","1호선 종로3가 1번 출구 도보 10분 1호선 종각 3번 출구 도보 10분 "
"2119","ko","월드컵공원","121-250 서울특별시 마포구 상암동 481-6 ","03900  서울특별시 마포구 하늘공원로 86 "," 02-300-5500","http://parks.seoul.go.kr/template/sub/worldcuppark.do","평화의 공원, 난지천공원, 난지한강공원은 상시개방 하늘공원, 노을공원은 일몰시간+2시간부터 공원 통제   (매달 통제시간이 다르니 홈페이지에서 확인 바랍니다.)","","","6호선 월드컵경기장 1번 출구 도보 5~10분  6호선 마포구청 8번 출구 도보 10~15분  "
"2302","ko","불광천 해담는다리"," 서울 서대문구 북가좌동 345-1 해담는다리","03680 서울 서대문구 불광천길 156 ","02-120","http://www.sdm.go.kr","","","","6호선 증산 2번 출구 도보 5분 "
"3633","ko","남산공원","140-190 서울 중구 예장동 산5-85 남산제1별관 ","04628 서울특별시 중구 삼일대로 231 ","02-3783-5900","http://parks.seoul.go.kr/namsan","상시개방","","","4호선 명동 1번 출구 도보 10분  4호선 회현 4번 출구 도보 약 20여분  "
"3833","ko","하늘공원","03900 서울 마포구 상암동 482 ","03900 서울 마포구 하늘공원로 95 (탐방객안내소) ","02-300-5501","http://parks.seoul.go.kr/template/sub/worldcuppark.do","※ 5:00 ~ 22:00 (월마다 유동적) (일몰시간 고려해서 매달 통제시간이 달라지므로 홈페이지 확인 필수) ","","","6호선 월드컵경기장역 1번 출구 도보 25분"
"3968","ko","반포 한강공원","137-040 서울시 서초구 반포동 115-5 ","137-040 서울특별시 서초구 신반포로11길 39 (반포동) ","02-591-5943","https://hangang.seoul.go.kr/archives/46727","24시간   * 달빛무지개분수 가동시간 비수기(5~6월,  9~10월) (매회 20분) - 19:30, 20:00, 20:30, 21:00 성수기(7~8월) (매회 20분) - 19:30, 20:00, 20:30, 21:00, 21:30","","","3호선 고속터미널 8-1,8-2번출구로나와 도보  4호선 동작 1,2번출구  "
"15873","ko","서울 둘레길 코스 안내","  ","  ","02-779-7902~4","http://gil.seoul.go.kr/walk/index.jsp","","","",""
"16326","ko","매봉산 야경"," 서울특별시 중구 신당동 매봉산 공원","  ","","","","","",""
